Date,BCOM,SILVER,OIL,PLATINUM,PALLADIUM,GOLD
14/01/2010,139.457,18.66,312.48,161.45,44.84,112.03
15/01/2010,138.0864,18.41,307.2,160.25,45.76,110.86
19/01/2010,138.4845,18.79,311.44,165.12,46.94,111.52
20/01/2010,136.3228,17.86,303.12,163.22,47.05,108.94
21/01/2010,135.6214,17.38,297.92,159.79,45.3,107.37
22/01/2010,134.8958,17.07,290.72,154.88,43.3,107.17
25/01/2010,135.1093,17.13,294.48,155.19,44.36,107.48
26/01/2010,133.6062,16.71,292,153.52,42.75,107.56
27/01/2010,130.9287,16.5483,288.64,149.99,41.336,106.528
28/01/2010,130.0522,16.2083,289.28,151.21,42.16,106.48
29/01/2010,129.0506,16.19,285.12,150.47,41.6954,105.96
01/02/2010,130.6602,16.68,293.76,155.06,43.2494,108.35
02/02/2010,133.0017,16.64,300.227,158.4,44.302,109.13
03/02/2010,131.178,16.37,301.2,157.7,43.857,108.7
04/02/2010,128.3408,15.32,286.4,150.41,40.85,104.37
05/02/2010,126.5582,15.19,281.68,148.02,40.09,104.68
08/02/2010,127.9806,15.02,280.72,147.1,40.68,104.04
09/02/2010,129.3281,15.43,289.68,150.25,41.912,105.41
10/02/2010,129.8922,15.25,292.08,151.34,41.36,105.12
11/02/2010,131.6842,15.67,294.24,152.94,42.08,107.13
12/02/2010,130.9984,15.52,290.48,151.45,41.72,107.04
16/02/2010,134.3313,16.11,302.32,153.7,43.32,109.62
17/02/2010,133.9284,16.02,303.76,153.12,43.79,109.25
18/02/2010,134.1996,16.18,309.84,153.23,43.91,109.98
19/02/2010,134.8378,16.27,312.72,153.37,43.86,109.47
22/02/2010,134.3712,16.17,312.24,152.57,44.18,109.07
23/02/2010,132.256,15.82,306.64,151.46,43.05,107.89
24/02/2010,133.3488,15.89,311.92,150.37,42.15,107.36
25/02/2010,131.6358,16.09,304.88,153.1099,42.186,108.31
26/02/2010,133.8318,16.42,310.56,154.08,43.23,109.43
01/03/2010,132.9638,16.39,306.8,154.65,43.26,109.43
02/03/2010,134.3852,16.89,310.4,157,44.14,111.02
03/03/2010,135.854,17.13,315.2,157.75,44.9,111.63
04/03/2010,133.9446,17.1,313.2,158.21,46.2932,110.83
05/03/2010,134.6791,17.29,318.8,157.62,47.74,110.81
08/03/2010,134.5231,17.21,318.32,159.82,47.05,109.88
09/03/2010,133.9307,17.23,316.4,158.91,46.79,109.718
10/03/2010,133.6101,16.9499,319.2,159.38,46.25,108.47
11/03/2010,132.6865,17.13,320.4,161.02,46.014,108.6
12/03/2010,132.4443,17.05,316.08,160.54,46.31,107.95
15/03/2010,131.3578,17.02,310.64,161.99,46.33,108.36
16/03/2010,132.901,17.36,318.32,163.08,47.24,110.4
17/03/2010,134.2027,17.41,321.84,162.68,47.86,109.59
18/03/2010,133.5578,17.39,319.36,162.53,47.81,110.34
19/03/2010,132.3821,16.97,313.6,160.7699,46.77,108.28
22/03/2010,132.0728,16.9,316.48,159.56,45.7,107.75
23/03/2010,131.7939,17.02,317.6,160.73,46.48,108.32
24/03/2010,130.5921,16.57,311.52,157.72,44.54,106.3
25/03/2010,129.8026,16.61,311.2,160.02,45.19,106.78
